__ID__,alcohol,sulphates,pH,density,total sulfur dioxide,free sulfur dioxide,chlorides,residual sugar,citric acid,volatile acidity,fixed acidity
1330,9.5,0.45,2.85,0.9940000000000001,108.0,24.0,0.05,2.2,0.41,0.21,8.3
1331,8.8,0.4,3.4,0.9972,110.0,24.0,0.057999999999999996,8.8,0.32,0.15,6.8
1332,9.3,0.51,3.15,1.0004,210.0,69.0,0.05,17.0,0.64,0.16,7.9
1333,12.6,0.75,3.09,0.991,180.0,62.0,0.034,1.8,0.39,0.21,7.8
1334,12.4,0.34,3.21,0.9918,107.0,26.0,0.048,1.2,0.5,0.24,9.0
1335,10.1,0.72,3.65,0.995,189.0,60.0,0.047,2.3,0.24,0.21,5.7
1336,11.2,0.37,3.26,0.9941,161.0,38.0,0.042,7.0,0.36,0.29,7.8
1337,10.0,0.52,3.29,0.9956,251.0,40.0,0.048,6.4,0.3,0.18,6.7
1338,10.0,0.52,3.29,0.9956,251.0,40.0,0.048,6.4,0.3,0.18,6.7
1339,10.8,0.39,2.99,0.9959,116.0,37.0,0.033,12.15,0.27,0.58,8.4
1340,10.0,0.33,3.27,0.9922,121.0,50.0,0.04,0.8,0.32,0.16,7.2
1341,10.4,0.33,3.04,0.9931,151.0,13.0,0.028999999999999998,2.0,0.23,0.54,7.6
1342,10.8,0.39,2.99,0.9959,116.0,37.0,0.033,12.15,0.27,0.58,8.4
1343,9.8,0.47,3.51,0.9984,181.0,52.0,0.059000000000000004,12.4,0.31,0.25,6.6
1344,12.2,0.4,3.26,0.9908,165.0,51.0,0.040999999999999995,1.9,0.37,0.23,7.3
1345,12.7,0.48,3.39,0.991,113.0,36.0,0.043,1.1,0.37,0.39,7.3
1346,12.2,0.35,3.21,0.9928,163.0,46.0,0.039,6.2,0.39,0.46,7.0
1347,11.9,0.34,3.15,0.9936,162.0,35.0,0.039,6.3,0.4,0.35,8.2
1348,11.2,0.37,3.26,0.9941,161.0,38.0,0.042,7.0,0.36,0.29,7.8
1349,10.4,0.28,2.96,0.9924,61.0,15.0,0.042,0.9,0.39,0.35,9.2
1350,12.8,0.67,3.29,0.9917,122.0,22.0,0.034,3.9,0.39,0.57,8.0
1351,12.7,0.39,3.28,0.9906,130.0,40.0,0.027000000000000003,3.9,0.33,0.37,6.5
1352,10.1,0.72,3.65,0.995,189.0,60.0,0.047,2.3,0.24,0.21,5.7
1353,10.0,0.52,3.29,0.9956,251.0,40.0,0.048,6.4,0.3,0.18,6.7
1354,9.0,0.41,3.43,0.9955,179.0,43.0,0.04,1.8,0.3,0.13,7.8
1355,11.4,0.42,2.92,0.9907,143.0,38.0,0.04,1.1,0.41,0.19,7.6
1356,8.9,0.59,3.32,1.0,191.0,55.0,0.05,15.4,0.41,0.22,7.3
1357,9.3,0.44,3.15,0.9953,167.0,43.0,0.039,6.5,0.4,0.29,6.3
1358,12.0,0.46,3.28,0.9911,103.0,35.0,0.048,2.4,0.32,0.35,6.8
1359,10.8,0.54,3.36,0.9922,132.0,31.0,0.04,1.4,0.32,0.19,6.5
1360,10.5,0.37,3.52,0.9951,158.0,56.0,0.044000000000000004,5.7,0.26,0.12,6.2
1361,10.6,0.43,3.59,0.9948,189.5,56.0,0.038,5.7,0.28,0.13,6.0
1362,11.3,0.48,3.19,0.9906,115.0,42.0,0.04,1.4,0.33,0.25,6.4
1363,9.5,0.38,3.22,0.9940000000000001,96.0,15.0,0.051,1.4,0.16,0.32,6.9
1364,11.4,0.42,2.92,0.9907,143.0,38.0,0.04,1.1,0.41,0.19,7.6
1365,10.1,0.33,3.33,0.9927,140.0,35.0,0.046,1.2,0.28,0.13,6.7
1366,10.9,0.43,3.25,0.9914,95.0,22.0,0.037000000000000005,0.9,0.41,0.14,7.0
1367,8.9,0.45,3.15,0.9958,115.0,19.0,0.057999999999999996,3.8,0.24,0.27,7.6
1368,8.9,0.59,3.32,1.0,191.0,55.0,0.05,15.4,0.41,0.22,7.3
1369,9.3,0.49,2.9,0.9984,185.0,42.0,0.168,14.15,0.47,0.64,7.4
1370,10.4,0.4,3.25,0.9941,116.0,23.0,0.052000000000000005,1.9,0.39,0.28,7.6
1371,12.0,0.38,3.1,0.9944,162.0,41.0,0.042,9.2,0.41,0.26,8.3
1372,9.5,0.68,2.87,0.998,181.0,37.0,0.044000000000000004,8.2,0.56,0.22,10.7
1373,9.5,0.68,2.87,0.998,181.0,37.0,0.044000000000000004,8.2,0.56,0.22,10.7
1374,12.4,0.38,3.14,0.9902,121.0,24.0,0.032,2.7,0.34,0.23,6.9
1375,11.2,0.41,3.28,0.9911,130.0,30.0,0.032,1.7,0.32,0.3,6.2
1376,11.4,0.69,3.15,0.9929,134.0,6.0,0.047,1.7,0.41,0.27,6.9
1377,11.4,0.71,3.16,0.993,136.0,10.0,0.05,1.7,0.41,0.28,6.9
1378,11.1,0.38,3.35,0.9918,132.0,46.0,0.047,1.6,0.3,0.28,6.9
1379,10.4,0.42,3.1,0.992,126.0,5.0,0.054000000000000006,0.9,0.2,0.46,6.9
1380,12.0,0.35,3.38,0.9932,152.0,36.0,0.044000000000000004,8.5,0.32,0.38,6.9
1381,12.3,0.61,3.54,0.992,98.0,24.0,0.039,5.7,0.3,0.43,5.7
1382,9.1,0.35,3.12,0.9940000000000001,92.0,28.0,0.045,3.1,0.16,0.56,6.6
1383,10.5,0.33,3.24,0.9923,102.0,25.0,0.046,1.3,0.56,0.36,7.1
1384,11.4,0.7,3.23,0.993,133.0,5.0,0.047,1.6,0.4,0.23,6.8
1385,9.5,0.64,3.77,0.9956,138.0,26.0,0.042,1.3,0.29,0.33,6.2
1386,13.7,0.9,3.42,0.9907,116.0,17.0,0.039,4.5,0.13,0.49,5.6
1387,13.4,0.51,3.28,0.99,85.0,15.0,0.034,2.8,0.33,0.42,6.6
1388,11.3,0.48,3.2,0.9918,143.0,12.0,0.044000000000000004,1.2,0.29,0.18,7.3
1389,10.0,0.34,3.06,0.9926,180.0,73.0,0.037000000000000005,0.9,0.4,0.19,8.1
1390,10.1,0.42,3.49,0.995,123.0,33.0,0.034,7.4,0.26,0.19,5.9
1391,12.2,0.42,3.26,0.99,81.0,23.0,0.028999999999999998,1.4,0.47,0.16,6.2
1392,13.4,0.51,3.28,0.99,85.0,15.0,0.034,2.8,0.33,0.42,6.6
1393,9.3,0.42,3.31,0.9946,101.0,19.0,0.042,4.6,0.3,0.135,5.7
1394,13.7,0.9,3.42,0.9907,116.0,17.0,0.039,4.5,0.13,0.49,5.6
1395,12.3,0.46,3.09,0.9898,98.0,27.0,0.039,1.6,0.33,0.19,6.9
1396,11.3,0.48,3.2,0.9918,143.0,12.0,0.044000000000000004,1.2,0.29,0.18,7.3
1397,8.9,0.46,3.04,0.9986,200.0,35.0,0.05,13.1,0.36,0.25,7.3
1398,8.9,0.46,3.04,0.9986,200.0,35.0,0.05,13.1,0.36,0.25,7.3
1399,11.5,0.46,3.19,0.9928,83.0,32.0,0.035,5.7,0.34,0.2,7.0
1400,8.9,0.46,3.04,0.9986,200.0,35.0,0.05,13.1,0.36,0.25,7.3
1401,9.3,0.52,3.17,0.9979,222.0,57.0,0.052000000000000005,12.6,0.48,0.67,6.3
1402,11.1,0.5,3.3,0.9940000000000001,122.0,31.0,0.044000000000000004,5.4,0.29,0.4,7.4
1403,10.9,0.64,3.34,0.9937,128.0,29.0,0.044000000000000004,2.2,0.31,0.26,7.1
1404,11.6,0.38,2.9,0.9938,73.0,11.0,0.043,6.6,0.48,0.31,9.0
1405,10.2,0.35,3.15,0.9942,117.0,9.0,0.069,6.9,0.24,0.39,6.3
1406,10.5,0.38,3.01,0.9944,90.0,12.0,0.034,6.8,0.36,0.22,8.2
1407,11.4,0.78,2.91,0.993,78.0,16.0,0.033,3.6,0.28,0.19,7.1
1408,8.9,0.46,3.04,0.9986,200.0,35.0,0.05,13.1,0.36,0.25,7.3
1409,10.6,0.41,3.14,0.9932,118.0,29.0,0.04,1.2,0.34,0.2,7.9
1410,11.6,0.4,3.31,0.9934,97.0,39.0,0.037000000000000005,5.9,0.32,0.26,7.1
1411,11.5,0.46,3.19,0.9928,83.0,32.0,0.035,5.7,0.34,0.2,7.0
1412,12.3,0.79,3.25,0.9925,155.0,26.0,0.035,4.1,0.33,0.3,6.9
1413,10.8,0.41,3.14,0.9944,124.0,22.0,0.042,7.1,0.49,0.29,8.1
1414,11.3,0.38,3.29,0.9909,130.0,55.0,0.037000000000000005,1.4,0.3,0.17,5.8
1415,9.3,0.36,3.36,0.9932,63.0,22.0,0.038,0.8,0.02,0.415,5.9
1416,10.0,0.6,3.36,0.9934,128.0,16.0,0.045,1.3,0.26,0.23,6.6
1417,11.0,0.63,3.04,1.0001,366.5,35.5,0.057,15.55,0.35,0.55,8.6
1418,10.2,0.55,3.13,0.992,132.0,18.0,0.044000000000000004,1.0,0.74,0.35,6.9
1419,10.8,0.4,3.07,0.9916,103.0,27.0,0.04,1.6,0.74,0.14,7.6
1420,10.1,0.34,3.1,0.998,137.0,29.0,0.042,11.8,0.49,0.28,9.2
1421,11.6,0.37,3.27,0.9919,90.0,17.0,0.047,4.5,0.49,0.18,6.2
1422,9.1,0.47,3.32,0.9925,105.0,25.0,0.051,1.1,0.24,0.165,5.3
1423,10.0,0.43,3.06,0.9977,225.0,36.0,0.055999999999999994,10.0,0.74,0.25,9.8
1424,10.8,0.41,3.14,0.9944,124.0,22.0,0.042,7.1,0.49,0.29,8.1
1425,11.4,0.35,3.25,0.991,128.0,26.0,0.052000000000000005,0.9,0.49,0.22,6.8
1426,12.7,0.34,3.05,0.99,140.0,34.0,0.045,1.0,0.49,0.22,7.2
1427,11.3,0.55,3.13,0.9917,156.0,35.0,0.042,1.1,0.49,0.25,7.4
1428,10.4,0.68,3.0,0.9923,81.0,28.0,0.033,1.1,0.49,0.18,8.2
1429,9.6,0.46,3.3,0.9928,87.0,18.0,0.051,1.5,0.49,0.22,6.1
1430,10.1,0.31,3.0,0.9923,119.0,8.0,0.048,1.0,0.24,0.39,7.0
1431,9.6,0.46,3.3,0.9928,87.0,18.0,0.051,1.5,0.49,0.22,6.1
1432,12.1,0.49,3.1,0.9902,94.0,16.0,0.03,2.9,0.49,0.36,6.5
1433,12.2,0.33,3.07,0.9893,99.0,32.0,0.031,1.2,0.49,0.29,7.1
1434,11.3,0.55,3.13,0.9917,156.0,35.0,0.042,1.1,0.49,0.25,7.4
1435,9.6,0.5,3.17,0.9982,94.0,19.0,0.053,14.2,0.24,0.23,6.9
1436,9.2,0.7,2.99,1.0005,243.0,51.0,0.051,17.85,0.74,0.56,8.5
1437,10.4,0.68,3.0,0.9923,81.0,28.0,0.033,1.1,0.49,0.18,8.2
1438,9.5,0.34,3.23,0.9951,210.0,67.0,0.05,7.1,0.49,0.23,6.3
1439,8.9,0.47,3.16,0.9956,226.0,67.0,0.052000000000000005,7.6,0.49,0.25,6.1
1440,8.8,0.44,3.03,0.998,162.0,56.0,0.05,13.6,0.74,0.26,7.2
1441,10.5,0.35,3.16,0.9928,117.0,17.0,0.057,1.4,0.24,0.31,7.2
1442,9.4,0.34,3.08,0.9938,117.0,27.0,0.061,1.2,0.49,0.25,8.0
1443,12.2,0.4,3.24,0.9914,125.0,34.0,0.04,5.3,0.49,0.18,7.0
1444,11.3,0.35,3.14,0.9955,158.0,37.0,0.033,13.0,0.49,0.43,7.8
1445,12.2,0.42,3.25,0.9924,130.0,33.0,0.044000000000000004,4.45,0.74,0.2,8.3
1446,12.2,0.42,3.38,0.9911,92.0,35.0,0.063,1.2,0.49,0.27,6.3
1447,11.2,0.47,3.23,0.9917,150.0,18.0,0.055,1.2,0.49,0.16,7.4
1448,11.2,0.47,3.23,0.9917,150.0,18.0,0.055,1.2,0.49,0.16,7.4
1449,11.5,0.27,3.2,0.9932,172.0,49.0,0.036000000000000004,6.6,0.49,0.19,6.9
1450,11.3,0.35,3.14,0.9955,158.0,37.0,0.033,13.0,0.49,0.43,7.8
1451,9.3,0.42,3.01,0.9929,138.0,11.0,0.048,1.1,0.49,0.4,7.2
1452,11.3,0.35,3.14,0.9955,158.0,37.0,0.033,13.0,0.49,0.43,7.8
1453,11.8,0.38,3.14,0.9958,156.0,37.0,0.034,14.0,0.49,0.52,7.6
1454,9.2,0.54,2.99,1.0012,231.0,50.0,0.054000000000000006,19.8,0.49,0.21,8.3
1455,9.2,0.81,3.0,0.9968,150.0,44.0,0.069,11.2,0.74,0.34,6.9
1456,12.2,0.42,3.38,0.9911,92.0,35.0,0.063,1.2,0.49,0.27,6.3
1457,12.2,0.42,3.25,0.9924,130.0,33.0,0.044000000000000004,4.45,0.74,0.2,8.3
1458,12.2,0.41,3.31,0.991,144.0,42.0,0.044000000000000004,2.7,0.74,0.22,7.1
1459,10.6,0.42,3.24,0.9946,133.0,27.0,0.048,4.5,0.49,0.11,7.9
1460,12.4,0.4,3.28,0.9928,128.0,29.0,0.05,3.6,0.74,0.17,8.5
1461,10.8,0.44,3.56,0.9946,164.0,54.0,0.048,5.4,0.49,0.145,6.4
1462,11.2,0.47,3.23,0.9917,150.0,18.0,0.055,1.2,0.49,0.16,7.4
1463,11.0,0.46,3.06,0.9918,137.0,11.0,0.051,1.2,0.49,0.19,8.3
1464,12.7,0.27,3.16,0.9926,151.0,46.0,0.031,9.1,0.49,0.44,8.0
1465,10.2,0.53,3.46,0.9931,163.0,19.0,0.044000000000000004,0.8,0.74,0.2,7.0
1466,11.5,0.27,3.2,0.9932,172.0,49.0,0.036000000000000004,6.6,0.49,0.19,6.9
1467,12.3,0.39,3.13,0.9903,96.0,30.0,0.03,3.0,0.49,0.25,7.1
1468,9.8,0.39,3.19,0.9928,60.0,15.0,0.046,1.6,0.24,0.24,6.5
1469,9.3,0.42,3.01,0.9929,138.0,11.0,0.048,1.1,0.49,0.4,7.2
1470,11.8,0.38,3.14,0.9958,156.0,37.0,0.034,14.0,0.49,0.52,7.6
1471,11.3,0.35,3.14,0.9955,158.0,37.0,0.033,13.0,0.49,0.43,7.8
1472,11.4,0.28,3.15,0.9911,48.0,6.0,0.052000000000000005,1.35,0.49,0.21,7.8
1473,10.8,0.48,3.21,0.9938,128.0,39.0,0.038,5.9,0.49,0.2,7.0
1474,9.5,0.48,2.99,0.9942,85.0,13.0,0.057,3.6,0.24,0.25,6.9
1475,10.2,0.44,3.46,0.9945,148.0,18.0,0.05,1.3,0.49,0.08,7.2
1476,10.7,0.36,3.22,0.9962,184.0,40.0,0.027999999999999997,8.7,0.49,0.85,7.1
1477,10.8,0.29,3.05,0.992,104.0,10.0,0.04,1.2,0.24,0.51,7.6
1478,11.5,0.28,2.99,0.9927,159.0,39.0,0.044000000000000004,4.6,0.24,0.22,7.9
1479,10.7,0.49,3.32,0.9948,124.0,20.0,0.055999999999999994,2.0,0.49,0.16,7.7
1480,10.2,0.44,3.46,0.9945,148.0,18.0,0.05,1.3,0.49,0.08,7.2
1481,10.1,0.6,3.37,0.9942,124.0,26.0,0.048,1.7,0.24,0.25,6.6
1482,10.4,0.81,3.62,0.9952,187.0,57.0,0.046,2.4,0.49,0.16,6.7
1483,9.5,0.48,2.99,0.9942,85.0,13.0,0.057,3.6,0.24,0.25,6.9
1484,9.1,0.5,3.14,0.9958,134.0,8.0,0.053,4.6,0.24,0.32,7.5
1485,10.6,0.39,2.98,0.9918,126.0,20.0,0.034,1.5,0.49,0.28,7.4
1486,9.4,0.7,3.3,0.9932,51.0,17.0,0.033,0.9,0.49,0.15,6.2
1487,9.8,0.45,3.51,1.0004,169.0,44.0,0.054000000000000006,19.4,0.74,0.25,6.7
1488,9.5,0.54,3.18,0.9972,224.0,68.0,0.044000000000000004,13.3,0.74,0.26,6.5
1489,9.3,0.41,2.99,0.9998,187.0,52.0,0.037000000000000005,17.85,0.74,0.16,7.9
1490,10.3,0.45,3.55,0.9918,117.0,28.0,0.03,1.1,0.49,0.185,5.6
1491,11.1,0.62,3.06,0.9918,97.0,8.0,0.031,1.3,0.49,0.2,7.5
1492,10.0,0.48,3.14,0.9964,188.0,47.0,0.046,9.4,0.49,0.3,8.0
1493,12.3,0.38,3.13,0.9936,180.0,39.0,0.033,9.0,0.49,0.34,8.0
1494,12.4,0.38,3.14,0.9931,186.0,42.0,0.033,8.65,0.49,0.35,7.7
1495,12.3,0.38,3.13,0.9938,197.0,45.0,0.03,9.6,0.49,0.29,7.6
1496,10.4,0.32,3.41,0.9934,62.0,6.0,0.039,1.1,0.24,0.62,6.7
1497,12.1,0.48,3.13,0.99,126.0,35.0,0.044000000000000004,1.2,0.49,0.27,6.8
1498,12.5,0.42,3.16,0.9914,86.0,23.0,0.040999999999999995,1.8,0.49,0.27,7.7
1499,13.0,0.6,3.22,0.9904,155.0,14.0,0.043,2.1,0.24,0.51,6.7
1500,11.0,0.32,2.99,0.9940000000000001,132.0,26.0,0.03,9.3,0.49,0.19,7.4
1501,10.1,0.37,3.05,0.9938,169.0,34.0,0.04,1.7,0.49,0.2,8.3
1502,9.2,0.36,3.13,0.9933,121.0,17.0,0.034,1.2,0.24,0.3,6.6
1503,12.6,0.34,3.27,0.9909,124.0,24.0,0.039,4.6,0.24,0.36,6.8
1504,12.2,0.38,3.26,0.9942,126.0,24.0,0.045,12.8,0.74,0.17,7.0
1505,9.8,0.49,3.04,0.9945,130.0,39.0,0.040999999999999995,1.5,0.49,0.18,9.2
1506,11.0,0.52,3.1,0.9954,205.0,51.0,0.051,8.1,0.49,0.2,8.1
1507,10.0,0.64,3.22,0.996,160.0,59.0,0.044000000000000004,7.5,0.74,0.26,7.8
1508,9.8,0.44,3.55,0.9991,170.0,50.0,0.06,14.5,0.49,0.21,6.8
1509,10.5,0.47,3.16,0.993,144.0,15.0,0.053,1.6,0.49,0.2,7.9
1510,10.0,0.48,3.23,0.9942,145.0,10.0,0.061,1.8,0.49,0.18,8.0
1511,11.2,0.51,3.02,0.9934,126.0,15.0,0.042,3.2,0.74,0.23,8.8
1512,11.0,0.32,2.99,0.9939,134.0,29.0,0.034,9.4,0.49,0.22,7.3
1513,11.2,0.28,3.01,0.9937,161.0,48.0,0.031,9.9,0.49,0.22,7.3
1514,11.0,0.32,2.99,0.9940000000000001,132.0,26.0,0.03,9.3,0.49,0.19,7.4
1515,10.5,0.77,3.14,0.9926,136.0,34.0,0.039,1.3,0.49,0.155,7.3
1516,10.6,0.33,3.02,0.9951,154.0,53.0,0.037000000000000005,9.6,0.49,0.22,8.2
1517,10.6,0.33,3.02,0.9952,163.0,52.0,0.038,9.3,0.49,0.24,8.2
1518,12.0,0.34,3.04,0.9935,95.0,22.0,0.035,7.8,0.49,0.23,8.4
1519,10.1,0.37,3.05,0.9938,169.0,34.0,0.04,1.7,0.49,0.2,8.3
1520,10.1,0.37,3.05,0.9939,167.0,38.0,0.038,1.7,0.49,0.2,8.3
1521,9.2,0.36,3.13,0.9933,121.0,17.0,0.034,1.2,0.24,0.3,6.6
1522,11.0,0.63,3.25,0.9927,164.0,15.0,0.040999999999999995,1.4,0.49,0.21,6.9
1523,10.0,0.49,3.34,0.998,185.0,31.0,0.044000000000000004,9.0,0.49,0.25,8.0
1524,8.7,0.39,3.28,0.9997,158.0,41.0,0.042,18.15,0.49,0.21,6.6
1525,8.7,0.44,3.04,0.9981,156.0,47.0,0.037000000000000005,12.5,0.74,0.27,7.2
1526,11.1,0.54,3.15,0.992,156.0,33.0,0.037000000000000005,1.1,0.49,0.27,14.2
1527,11.0,0.55,3.04,0.9954,195.0,48.0,0.045,7.7,0.49,0.28,7.9
1528,11.1,0.54,3.15,0.992,156.0,33.0,0.037000000000000005,1.1,0.49,0.27,7.4
1529,8.7,0.39,3.28,0.9997,158.0,41.0,0.042,18.15,0.49,0.21,6.6
1530,8.7,0.44,3.04,0.9981,156.0,47.0,0.037000000000000005,12.5,0.74,0.27,7.2
1531,11.2,0.3,3.1,0.9943,174.0,26.0,0.037000000000000005,8.1,0.49,0.3,8.1
1532,11.1,0.3,3.14,0.9941,209.0,61.0,0.049,7.7,0.49,0.23,7.5
1533,10.8,0.54,3.24,0.9936,107.0,32.0,0.027999999999999997,5.0,0.49,0.26,7.3
1534,9.0,0.67,3.38,0.9996,176.0,44.0,0.044000000000000004,15.6,0.74,0.18,7.1
1535,10.3,0.4,3.03,0.9932,122.0,17.0,0.031,1.5,0.49,0.15,8.5
1536,9.9,0.32,2.91,0.9926,24.0,6.0,0.027999999999999997,1.0,0.49,0.13,8.9
1537,10.0,0.41,3.13,0.9936,148.0,32.0,0.04,1.0,0.49,0.28,8.1
1538,9.8,0.42,3.21,0.992,106.0,26.0,0.034,1.0,0.49,0.17,6.0
1539,10.8,0.54,3.24,0.9936,107.0,32.0,0.027999999999999997,5.0,0.49,0.26,7.3
1540,9.0,0.67,3.38,0.9996,176.0,44.0,0.044000000000000004,15.6,0.74,0.18,7.1
1541,9.1,0.32,3.16,0.993,86.0,29.0,0.028999999999999998,0.8,0.24,0.53,7.1
1542,10.6,0.57,3.23,0.9924,104.0,27.0,0.037000000000000005,1.3,0.49,0.16,7.2
1543,10.6,0.72,3.2,0.9928,99.0,28.0,0.038,1.1,0.49,0.14,7.3
1544,9.9,0.32,2.91,0.9926,24.0,6.0,0.027999999999999997,1.0,0.49,0.13,8.9
1545,10.6,0.47,3.18,0.9952,152.0,33.0,0.049,5.2,0.49,0.12,7.9
1546,9.9,0.45,3.13,0.9945,156.0,35.0,0.034,4.7,0.49,0.29,6.7
1547,9.9,0.45,3.12,0.9945,158.0,36.0,0.034,4.8,0.49,0.3,6.7
1548,12.8,0.59,3.34,0.9903,102.0,32.0,0.025,1.8,0.24,0.36,7.1
1549,10.3,0.4,3.03,0.9932,122.0,17.0,0.031,1.5,0.49,0.15,8.5
1550,10.6,0.48,3.18,0.9953,157.0,36.0,0.051,5.2,0.49,0.18,7.9
1551,8.7,0.31,3.09,0.9936,129.0,45.0,0.122,1.2,0.99,0.19,6.6
1552,12.6,0.44,3.32,0.9912,152.0,44.0,0.038,1.8,0.49,0.21,7.3
1553,11.0,0.63,3.43,0.9962,156.0,25.0,0.057,7.6,0.49,0.3,6.9
1554,11.2,0.6,3.29,0.9965,164.0,32.0,0.055999999999999994,8.2,0.49,0.42,7.9
1555,10.7,0.57,3.45,0.9932,148.0,35.0,0.032,1.3,0.49,0.24,6.9
1556,9.6,0.58,3.08,0.9967,182.0,45.0,0.036000000000000004,10.0,0.49,0.23,7.6
1557,10.6,0.48,3.18,0.9953,157.0,36.0,0.051,5.2,0.49,0.18,7.9
1558,9.0,0.57,3.27,0.9963,115.0,12.0,0.045,6.4,0.49,0.43,6.2
1559,10.5,0.33,2.96,0.992,56.0,14.0,0.036000000000000004,1.0,0.49,0.35,8.8
1560,12.8,0.52,3.29,0.991,156.0,33.0,0.033,1.8,0.74,0.3,7.8
1561,10.1,0.46,3.15,0.9958,112.0,10.0,0.059000000000000004,2.0,0.49,0.28,9.1
1562,12.2,0.33,3.3,0.99,126.0,26.0,0.027000000000000003,1.5,0.49,0.34,7.1
1563,12.8,0.52,3.29,0.991,156.0,33.0,0.033,1.8,0.74,0.3,7.8
1564,10.1,0.46,3.15,0.9958,112.0,10.0,0.059000000000000004,2.0,0.49,0.28,9.1
1565,10.1,0.51,3.14,0.9938,117.0,29.0,0.044000000000000004,3.5,0.49,0.19,8.5
1566,9.2,0.41,3.06,0.9996,158.0,36.0,0.046,18.05,0.49,0.18,7.6
1567,9.9,0.44,3.33,0.9946,110.0,19.0,0.055,1.8,0.49,0.19,7.5
1568,9.7,0.58,3.52,0.9974,188.0,49.0,0.055,8.2,0.49,0.3,7.4
1569,9.9,0.46,3.21,0.9945,157.0,35.0,0.038,5.0,0.74,0.3,6.7
1570,9.9,0.45,3.21,0.9946,159.0,36.0,0.040999999999999995,4.6,0.74,0.3,6.6
1571,9.7,0.58,3.52,0.9974,188.0,49.0,0.055,8.2,0.49,0.3,7.4
1572,10.3,0.5,3.54,0.9957,168.0,50.0,0.063,7.0,0.49,0.22,6.9
1573,10.3,0.35,3.16,0.9931,116.0,21.0,0.045,3.1,0.49,0.26,7.8
1574,10.5,0.34,2.88,0.9947,108.0,23.0,0.048,8.8,0.49,0.17,8.5
1575,10.5,0.76,3.63,0.9953,182.0,61.0,0.053,2.4,0.74,0.17,6.8
1576,9.8,0.44,3.32,0.9931,74.0,20.0,0.05,1.4,0.49,0.27,6.2
1577,10.6,0.58,3.31,0.9946,128.0,17.0,0.05,1.8,0.49,0.64,7.1
1578,10.1,0.68,3.58,0.9978,168.0,54.0,0.046,11.9,0.74,0.18,6.4
1579,9.0,0.53,3.22,0.9989,191.0,50.0,0.062,13.4,0.49,0.31,7.6
1580,9.5,0.45,3.18,1.0004,119.0,13.0,0.046,15.4,0.49,0.31,9.8
1581,11.5,0.32,2.94,0.9938,84.0,32.0,0.039,7.2,0.49,0.3,9.0
1582,11.9,0.33,3.03,0.9934,108.0,46.0,0.039,7.4,0.49,0.24,8.4
1583,10.1,0.68,3.58,0.9978,168.0,54.0,0.046,11.9,0.74,0.18,6.4
1584,9.2,0.42,3.21,0.9956,209.0,52.0,0.045,7.8,0.74,0.25,6.4
1585,8.7,0.4,3.02,0.9982,165.0,46.0,0.039,13.5,0.74,0.3,7.3
1586,9.8,0.46,3.11,0.9948,147.0,34.0,0.042,1.3,0.49,0.31,9.3
1587,9.2,0.42,3.21,0.9956,209.0,52.0,0.045,7.8,0.74,0.25,6.4
1588,8.7,0.4,3.02,0.9982,165.0,46.0,0.039,13.5,0.74,0.3,7.3
1589,11.2,0.48,3.35,0.9926,122.0,27.0,0.036000000000000004,1.5,0.74,0.27,7.0
1590,12.3,0.82,3.08,0.991,165.0,30.0,0.027999999999999997,1.2,0.74,0.14,7.9
1591,10.4,0.44,3.34,0.9945,161.0,49.0,0.042,6.4,0.49,0.12,6.4
1592,10.7,0.41,3.13,0.9916,111.0,25.0,0.047,1.2,0.74,0.21,6.8
1593,10.5,0.59,3.13,0.9953,63.0,9.0,0.043,7.3,0.49,0.16,8.6
1594,9.4,0.4,2.95,0.9938,136.0,37.0,0.047,3.8,0.49,0.29,7.0
1595,9.2,0.43,3.24,0.9956,206.0,53.0,0.046,7.3,0.49,0.27,6.4
1596,11.9,0.3,3.15,0.9906,122.0,56.0,0.034,2.7,0.01,0.55,6.6
1597,9.2,0.43,3.24,0.9956,206.0,53.0,0.046,7.3,0.49,0.27,6.4
1598,9.9,0.39,3.27,0.9932,108.0,24.0,0.172,1.4,0.74,0.24,6.3
1599,11.4,0.5,3.11,0.9914,94.0,20.0,0.16699999999999998,1.6,0.49,0.33,6.7
1600,9.4,0.4,2.95,0.9938,136.0,37.0,0.047,3.8,0.49,0.29,7.0
1601,10.7,0.52,3.08,0.996,223.0,55.0,0.046,8.0,0.49,0.34,8.2
1602,12.7,0.36,3.28,0.9906,77.0,27.0,0.034,4.7,0.24,0.39,5.6
1603,13.5,0.5,3.32,0.98815,53.0,10.0,0.034,1.9,0.24,0.41,5.6
1604,9.5,0.35,3.24,0.9942,137.0,39.0,0.048,2.8,0.01,0.41,6.7
1605,12.9,0.42,3.37,0.9903,113.0,31.0,0.032,2.2,0.49,0.26,7.1
1606,12.5,0.46,3.07,0.9906,109.0,44.0,0.031,1.7,0.49,0.32,7.5
1607,9.5,0.38,3.34,0.9935,118.0,44.0,0.04,4.9,0.49,0.19,5.8
1608,8.6,0.47,2.98,1.0024,235.0,59.0,0.057,23.5,0.49,0.27,6.9
1609,10.0,0.46,3.09,0.9968,212.0,46.0,0.048,11.8,0.49,0.2,8.1
1610,12.5,0.46,3.07,0.9906,109.0,44.0,0.031,1.7,0.49,0.32,7.5
1611,10.1,0.34,3.12,0.9941,100.0,19.0,0.04,5.2,0.49,0.26,8.2
1612,11.3,0.32,3.03,0.9919,87.0,28.0,0.027000000000000003,3.2,0.49,0.26,7.8
