__ID__,酒精,硫酸盐,PH,密度,总二氧化硫,游离二氧化硫,氯化物,残糖,柠檬酸,挥发性酸度,固定酸度
287,10.3,0.7,3.37,0.9967,53.0,29.0,0.092,3.0,0.12,0.4,7.5
288,10.6,0.86,3.34,0.9976,49.0,20.0,0.091,2.5,0.09,0.52,8.7
289,9.2,0.95,3.2,1.001,98.0,33.0,0.105,3.3,0.53,0.42,11.6
290,10.6,0.86,3.34,0.9976,49.0,20.0,0.091,2.5,0.09,0.52,8.7
291,10.5,0.71,3.3,0.9979,18.0,6.0,0.34299999999999997,2.0,0.48,0.2,11.0
292,10.3,0.64,3.22,0.9994,48.0,18.0,0.091,2.7,0.23,0.55,10.4
293,10.1,0.6,3.41,0.9964,16.0,5.0,0.098,2.4,0.25,0.36,6.9
294,9.5,0.81,3.05,1.0014,53.0,17.0,0.094,3.2,0.52,0.34,13.3
295,9.5,0.64,3.05,1.0001,27.0,5.0,0.073,2.5,0.46,0.5,10.8
296,9.9,0.52,3.16,0.9981,70.0,26.0,0.086,2.6,0.37,0.83,10.6
297,9.6,0.73,3.67,0.99855,29.0,8.0,0.083,2.0,0.06,0.63,7.1
298,9.7,0.8,3.67,0.9993,31.0,5.0,0.094,2.3,0.02,0.65,7.2
299,9.6,0.71,3.68,0.99845,33.0,8.0,0.08,2.1,0.06,0.67,6.9
300,10.7,0.59,3.38,0.9965,44.0,20.0,0.086,2.6,0.06,0.53,7.5
301,10.1,0.64,3.22,0.9973,15.0,7.0,0.068,1.5,0.48,0.18,11.1
302,10.0,0.72,3.51,0.9994,28.0,12.0,0.092,2.6,0.12,0.705,8.3
303,9.5,0.54,3.39,0.996,21.0,5.0,0.18600000000000003,1.6,0.12,0.67,7.4
304,9.2,0.52,3.2,0.9973,90.0,12.0,0.11199999999999999,2.1,0.6,0.65,8.4
305,9.3,0.59,3.12,0.9998,25.0,6.0,0.063,2.5,0.48,0.53,10.3
306,9.4,0.52,3.36,0.9966,54.0,7.0,0.08199999999999999,2.2,0.32,0.62,7.6
307,9.5,0.62,3.19,0.9994,14.0,6.0,0.213,2.4,0.42,0.41,10.3
308,9.5,0.63,3.19,0.9994,12.0,5.0,0.214,2.4,0.44,0.43,10.3
309,9.5,0.53,3.41,0.9968,30.0,9.0,0.062,1.7,0.38,0.29,7.4
310,9.3,0.59,3.12,0.9998,25.0,6.0,0.063,2.5,0.48,0.53,10.3
311,9.4,0.54,3.27,0.996,105.0,15.0,0.07200000000000001,2.0,0.24,0.53,7.9
312,9.5,0.63,3.32,0.99815,98.0,19.0,0.09300000000000001,2.8,0.31,0.46,9.0
313,9.4,0.53,3.3,0.9976,135.0,30.0,0.076,3.0,0.3,0.47,8.6
314,11.0,0.68,3.39,0.99645,72.0,26.0,0.087,2.6,0.29,0.36,7.4
315,11.0,0.65,3.42,0.9962,53.0,20.0,0.096,2.5,0.29,0.35,7.1
316,10.1,0.65,3.3,0.9996,92.0,37.0,0.102,3.4,0.23,0.56,9.6
317,10.4,0.64,3.3,0.99865,74.0,30.0,0.08199999999999999,2.9,0.12,0.77,9.6
318,11.5,0.71,3.37,0.9989,59.0,21.0,0.083,3.2,0.39,0.66,9.8
319,10.4,0.64,3.3,0.99865,74.0,30.0,0.08199999999999999,2.9,0.12,0.77,9.6
320,11.5,0.71,3.37,0.9989,59.0,21.0,0.083,3.2,0.39,0.66,9.8
321,9.7,0.62,3.24,0.99975,87.0,25.0,0.09,3.4,0.26,0.61,9.3
322,9.3,0.63,3.29,0.99735,18.0,6.0,0.079,2.3,0.05,0.62,7.8
323,9.5,0.7,3.28,0.9990000000000001,73.0,35.0,0.09,2.8,0.42,0.59,10.3
324,9.2,0.69,3.16,1.0015,50.0,13.0,0.071,11.0,0.2,0.49,10.0
325,9.2,0.69,3.16,1.0015,50.0,13.0,0.071,11.0,0.2,0.49,10.0
326,11.5,0.74,3.05,0.9978,14.0,6.0,0.121,3.65,0.66,0.53,11.6
327,11.5,0.83,3.28,0.998,13.0,5.0,0.107,4.5,0.5,0.44,10.3
328,9.7,0.67,3.16,1.0002,21.0,6.0,0.08199999999999999,2.6,0.62,0.27,13.4
329,9.5,0.62,3.18,0.9981,15.0,7.0,0.061,2.0,0.39,0.46,10.7
330,12.5,0.66,3.23,0.998,41.0,10.0,0.122,2.9,0.64,0.36,10.2
331,12.5,0.66,3.23,0.998,41.0,10.0,0.122,2.9,0.64,0.36,10.2
332,9.4,0.54,3.22,0.9973,114.0,21.0,0.066,3.2,0.28,0.58,8.0
333,11.0,0.52,3.13,0.9958,44.0,16.0,0.105,2.1,0.08,0.56,8.4
334,11.7,0.74,3.34,0.9963,38.0,17.0,0.078,2.5,0.01,0.65,7.9
335,12.2,0.84,3.17,0.9992,21.0,7.0,0.128,3.4,0.53,0.695,11.9
336,12.5,0.7,3.35,0.9948,16.0,6.0,0.052000000000000005,1.9,0.45,0.43,8.9
337,10.3,0.64,3.31,0.9974,58.0,29.0,0.08,2.8,0.32,0.43,7.8
338,11.5,1.0,3.16,1.0008,99.0,28.0,0.10300000000000001,3.0,0.58,0.49,12.4
339,9.8,1.36,3.11,0.9997,29.0,12.0,0.08199999999999999,2.3,0.54,0.28,12.5
340,9.2,1.18,3.12,1.0,21.0,10.0,0.066,2.4,0.5,0.34,12.2
341,11.3,0.87,3.21,0.9972,18.0,5.0,0.065,2.7,0.48,0.42,10.6
342,9.8,0.75,3.3,0.9982,14.0,6.0,0.11800000000000001,1.8,0.47,0.39,10.9
343,9.8,0.75,3.3,0.9982,14.0,6.0,0.11800000000000001,1.8,0.47,0.39,10.9
344,10.7,0.78,3.12,1.0006,32.0,6.0,0.08199999999999999,2.6,0.5,0.57,11.9
345,9.9,0.81,3.6,0.9979,63.0,40.0,0.067,1.9,0.0,0.685,7.0
346,12.3,0.89,3.58,0.9955,34.0,17.0,0.07200000000000001,2.7,0.02,0.815,6.6
347,12.0,0.93,3.02,0.9986,15.0,6.0,0.09300000000000001,3.0,0.67,0.49,13.8
348,10.0,0.92,3.11,0.9979,46.0,15.0,0.08900000000000001,2.8,0.31,0.56,9.6
349,9.4,0.86,3.36,0.9994,28.0,11.0,0.09300000000000001,2.6,0.0,0.785,9.1
350,9.9,0.98,3.28,1.0004,34.0,17.0,0.107,2.7,0.22,0.67,10.7
351,9.4,0.83,3.35,0.9994,26.0,11.0,0.096,2.6,0.0,0.795,9.1
352,9.3,0.73,3.27,0.9974,19.0,8.0,0.09,2.4,0.0,0.665,7.7
353,13.0,0.77,3.18,1.0018,77.0,23.0,0.12,4.8,0.79,0.53,13.5
354,11.9,0.59,3.25,0.9912,165.0,40.5,0.066,1.4,0.4,0.21,6.1
355,12.8,0.61,3.55,0.9955,32.0,17.0,0.078,2.4,0.01,0.75,6.7
356,11.0,0.88,3.26,1.0001,55.0,29.0,0.08,3.0,0.52,0.41,11.5
357,11.7,0.75,3.24,0.997,29.0,12.0,0.11599999999999999,2.95,0.66,0.42,10.5
358,10.4,0.85,3.15,1.0,23.0,10.0,0.109,3.1,0.66,0.43,11.9
359,9.8,0.68,3.17,1.001,41.0,10.0,0.08800000000000001,2.6,0.66,0.38,12.6
360,9.4,0.7,3.19,0.9973,81.0,14.0,0.099,2.0,0.23,0.7,8.2
361,9.9,0.91,3.37,0.9982,50.0,21.0,0.086,2.6,0.31,0.45,8.6
362,10.0,0.56,3.05,0.9992,37.0,6.0,0.07200000000000001,2.5,0.66,0.58,11.9
363,10.2,0.87,2.99,0.9988,15.0,6.0,0.071,2.0,0.63,0.46,12.5
364,10.0,0.73,3.07,1.0022,42.0,7.0,0.083,5.8,0.66,0.615,12.8
365,11.8,0.93,3.26,0.9979,21.0,7.0,0.107,3.4,0.5,0.42,10.0
366,10.0,0.73,3.07,1.0022,42.0,7.0,0.083,5.8,0.66,0.615,12.8
367,9.0,0.69,3.16,1.0,24.0,11.0,0.076,2.6,0.61,0.575,10.4
368,9.4,0.64,3.18,0.9998,75.0,15.0,0.159,2.8,0.52,0.34,10.3
369,12.0,1.13,3.2,0.9962,18.0,6.0,0.07400000000000001,2.4,0.53,0.27,9.4
370,9.9,0.78,3.57,0.9975,63.0,35.0,0.063,2.3,0.02,0.765,6.9
371,8.7,0.87,3.32,0.9967,25.0,11.0,0.055999999999999994,1.6,0.4,0.24,7.9
372,10.6,1.04,3.32,0.9967,46.0,26.0,0.067,1.8,0.48,0.28,9.1
373,9.2,0.63,3.05,0.9959,72.0,12.0,0.106,2.2,0.22,0.55,7.4
374,10.8,0.81,3.01,1.0014,47.0,6.0,0.08900000000000001,3.8,0.63,0.41,14.0
375,11.8,0.83,3.01,0.9984,15.0,6.0,0.124,4.4,0.71,0.54,11.5
376,11.0,1.11,3.26,1.0003,47.0,19.0,0.078,3.0,0.5,0.45,11.5
377,12.0,1.13,3.2,0.9962,18.0,6.0,0.07400000000000001,2.4,0.53,0.27,9.4
378,13.3,0.99,3.11,0.9988,24.0,6.0,0.08800000000000001,6.2,0.66,0.625,11.4
379,10.8,0.7,3.31,0.9979,60.0,24.0,0.094,2.5,0.38,0.42,8.3
380,9.4,0.8,3.21,0.9974,27.0,11.0,0.08,2.0,0.42,0.26,8.3
381,10.0,0.8,3.06,1.0014,43.0,17.0,0.085,2.9,0.68,0.415,13.7
382,9.4,0.8,3.21,0.9974,27.0,11.0,0.08,2.0,0.42,0.26,8.3
383,9.4,0.8,3.21,0.9974,27.0,11.0,0.08,2.0,0.42,0.26,8.3
384,9.2,0.74,3.42,0.998,54.0,23.0,0.087,2.1,0.28,0.51,7.7
385,9.7,0.76,3.43,0.9979,37.0,11.0,0.09,2.4,0.07,0.63,7.4
386,9.2,0.74,3.41,0.9981,48.0,23.0,0.08800000000000001,2.0,0.26,0.54,7.8
387,9.6,0.54,3.31,0.9972,42.0,17.0,0.079,1.9,0.15,0.66,8.3
388,9.2,0.74,3.43,0.9981,53.0,23.0,0.08800000000000001,1.9,0.26,0.46,7.8
389,10.0,0.7,3.19,0.9982,49.0,16.0,0.096,2.5,0.31,0.38,9.6
390,12.9,0.82,3.56,0.9924,88.0,12.0,0.045,1.4,0.05,0.85,5.6
391,10.0,0.8,3.06,1.0014,43.0,17.0,0.085,2.9,0.68,0.415,13.7
392,9.5,0.51,3.18,0.998,26.0,6.0,0.08199999999999999,2.0,0.52,0.37,9.5
393,9.1,0.54,3.16,0.997,95.0,13.0,0.11199999999999999,2.0,0.61,0.665,8.4
394,9.9,0.57,3.03,0.9997,25.0,6.0,0.063,2.3,0.65,0.6,12.7
395,13.0,0.6,3.22,1.0004,38.0,7.0,0.066,4.2,0.76,0.37,12.0
396,9.9,0.53,3.47,0.9994,124.0,68.0,0.122,7.9,0.02,0.735,6.6
397,11.0,0.65,3.18,0.9988,49.0,13.0,0.087,2.6,0.59,0.59,11.5
398,11.0,0.65,3.18,0.9988,49.0,13.0,0.087,2.6,0.59,0.59,11.5
399,9.4,0.55,3.1,0.9963,42.0,9.0,0.064,2.3,0.22,0.765,8.7
400,9.9,0.53,3.47,0.9994,124.0,68.0,0.122,7.9,0.02,0.735,6.6
401,10.8,0.47,3.29,0.9949,38.0,20.0,0.059000000000000004,1.7,0.3,0.26,7.7
402,10.5,0.61,3.1,1.0,64.0,19.0,0.085,2.6,0.54,0.48,12.2
403,10.5,0.63,3.15,0.9994,41.0,10.0,0.085,2.7,0.49,0.6,11.4
404,9.1,0.61,3.26,0.9974,27.0,15.0,0.075,2.7,0.05,0.69,7.7
405,10.1,0.76,3.36,0.9966,25.0,11.0,0.059000000000000004,1.4,0.46,0.31,8.7
406,10.8,0.65,3.24,0.9981,28.0,9.0,0.063,2.5,0.47,0.44,9.8
407,10.8,0.63,3.18,0.9996,30.0,12.0,0.09300000000000001,3.0,0.66,0.39,12.0
408,11.3,0.7,3.19,0.997,16.0,6.0,0.174,3.7,0.58,0.34,10.4
409,9.6,0.57,3.05,0.9981,49.0,26.0,0.07,4.5,0.49,0.46,12.5
410,9.5,0.62,3.38,0.9987,86.0,26.0,0.08,2.5,0.34,0.43,9.0
411,9.5,0.62,3.38,0.9987,78.0,23.0,0.08,2.4,0.35,0.45,9.1
412,9.3,0.64,3.27,0.9966,77.0,15.0,0.1,1.9,0.16,0.735,7.1
413,11.7,0.82,3.27,0.9986,19.0,6.0,0.09699999999999999,6.7,0.53,0.4,9.9
414,9.5,0.61,3.26,0.9982,122.0,24.0,0.087,2.7,0.34,0.52,8.8
415,9.3,1.07,3.32,1.0014,134.0,31.0,0.11699999999999999,6.6,0.24,0.725,8.6
416,11.7,0.66,3.26,0.997,20.0,6.0,0.111,2.2,0.64,0.48,10.6
417,10.5,0.48,3.44,0.9956,124.0,34.0,0.091,1.9,0.12,0.58,7.0
418,10.4,0.76,3.24,0.9996,20.0,7.0,0.121,2.0,0.51,0.38,11.9
419,9.9,0.68,3.62,0.9976,52.0,34.0,0.066,1.8,0.0,0.77,6.8
420,11.8,0.73,3.28,0.9972,67.0,35.0,0.08900000000000001,2.4,0.33,0.56,9.5
421,12.3,0.56,3.52,0.9952,48.0,32.0,0.059000000000000004,2.3,0.03,0.84,6.6
422,10.9,0.44,3.36,0.9955,60.0,15.0,0.047,2.0,0.2,0.96,7.7
423,11.0,0.9,3.15,0.9978,24.0,6.0,0.066,2.1,0.47,0.24,10.5
424,10.9,0.44,3.36,0.9955,60.0,15.0,0.047,2.0,0.2,0.96,7.7
425,12.3,0.56,3.52,0.9952,48.0,32.0,0.059000000000000004,2.3,0.03,0.84,6.6
426,11.4,0.49,3.49,0.9949,48.0,19.0,0.045,2.1,0.08,0.67,6.4
427,10.6,0.56,3.26,0.9988,32.0,6.0,0.077,1.9,0.22,0.78,9.5
428,9.3,0.6,3.24,0.9978,30.0,9.0,0.07,1.3,0.33,0.52,9.1
429,10.4,0.6,3.1,0.9997,35.0,13.0,0.08800000000000001,2.4,0.63,0.84,12.8
430,11.0,0.9,3.15,0.9978,24.0,6.0,0.066,2.1,0.47,0.24,10.5
431,9.2,0.56,3.25,0.9974,66.0,21.0,0.07400000000000001,2.2,0.35,0.55,7.8
432,12.8,0.65,3.0,0.9958,24.0,12.0,0.078,2.3,0.69,0.37,11.9
433,9.5,0.49,3.16,1.0004,18.0,6.0,0.091,2.3,0.63,0.39,12.3
434,9.9,0.89,3.15,0.9996,54.0,22.0,0.076,3.2,0.55,0.41,10.4
435,9.5,0.49,3.16,1.0004,18.0,6.0,0.091,2.3,0.63,0.39,12.3
436,10.2,0.56,3.26,0.9958,62.0,38.0,0.06,2.0,0.3,0.67,8.0
437,11.2,0.66,3.17,0.9986,22.0,6.0,0.066,3.2,0.73,0.45,11.1
438,9.9,0.89,3.15,0.9996,54.0,22.0,0.076,3.2,0.55,0.41,10.4
439,9.3,0.6,3.08,0.9951,50.0,7.0,0.062,1.5,0.18,0.62,7.0
440,9.8,0.82,2.88,0.9987,29.0,6.0,0.07200000000000001,2.2,0.72,0.31,12.6
441,11.3,0.68,3.06,0.9988,27.0,7.0,0.068,2.15,0.65,0.4,11.9
442,11.2,0.68,2.95,1.0032,43.0,6.0,0.1,3.7,0.76,0.685,15.6
443,11.6,0.63,3.23,0.9963,19.0,11.0,0.077,2.7,0.49,0.44,10.0
444,12.5,0.84,3.57,0.9934,27.0,5.0,0.054000000000000006,1.7,0.01,0.57,5.3
445,10.1,0.56,3.23,0.9986,31.0,6.0,0.079,2.1,0.1,0.735,9.5
446,10.5,0.73,3.1,0.9996,72.0,31.0,0.081,2.6,0.6,0.38,12.5
447,11.2,0.72,3.22,0.9968,16.0,6.0,0.127,2.1,0.29,0.48,9.3
448,10.2,0.56,3.2,0.9967,27.0,7.0,0.1,2.0,0.22,0.53,8.6
449,10.8,0.61,3.1,0.9994,35.0,17.0,0.095,2.8,0.69,0.39,11.9
450,10.8,0.61,3.1,0.9994,35.0,17.0,0.095,2.8,0.69,0.39,11.9
451,9.1,1.06,3.06,0.9979,26.0,9.0,0.413,1.8,0.53,0.37,8.4
452,10.0,0.63,3.44,0.9968,35.0,18.0,0.084,1.7,0.03,0.56,6.8
453,11.2,0.74,3.26,0.9998,22.0,5.0,0.084,2.8,0.63,0.33,10.4
454,11.1,0.63,3.5,0.9952,67.0,21.0,0.063,1.6,0.4,0.23,7.0
455,13.4,0.69,3.22,0.9988,19.0,6.0,0.086,5.2,0.67,0.62,11.3
456,10.3,0.58,3.37,0.9986,22.0,5.0,0.095,2.3,0.39,0.59,8.9
457,9.6,0.58,3.28,0.9988,65.0,29.0,0.09699999999999999,2.7,0.21,0.63,9.2
458,11.2,0.74,3.26,0.9998,22.0,5.0,0.084,2.8,0.63,0.33,10.4
459,9.0,0.57,3.25,1.0008,47.0,10.0,0.07400000000000001,2.2,0.66,0.58,11.6
460,11.3,0.61,3.35,0.9976,23.0,14.0,0.083,2.3,0.52,0.43,9.2
461,9.3,0.61,3.26,0.9982,19.0,6.0,0.087,2.6,0.22,0.615,8.3
462,11.8,0.61,3.18,0.997,25.0,10.0,0.085,2.55,0.68,0.26,11.0
463,9.0,0.53,3.08,0.9972,129.0,25.0,0.098,2.2,0.7,0.66,8.1
464,9.2,0.7,2.98,0.9987,15.0,5.0,0.084,2.1,0.54,0.315,11.5
465,9.7,0.91,3.48,1.0006,26.0,10.0,0.098,2.9,0.4,0.29,10.0
466,11.5,0.72,3.16,0.9982,51.0,21.0,0.069,2.0,0.42,0.5,10.3
467,14.0,0.79,3.32,0.9947,18.0,7.0,0.065,2.6,0.45,0.46,8.8
468,9.2,0.62,3.17,1.0,21.0,6.0,0.09,2.1,0.69,0.36,11.4
469,9.8,0.58,3.2,0.9952,48.0,36.0,0.07,1.2,0.02,0.82,8.7
470,10.6,0.61,3.05,0.9996,47.0,15.0,0.09300000000000001,2.6,0.65,0.32,13.0
471,11.4,0.71,3.2,0.997,52.0,25.0,0.081,2.4,0.42,0.54,9.6
472,10.4,0.82,3.15,0.9995,68.0,25.0,0.083,2.6,0.55,0.37,12.5
473,10.6,0.79,3.26,0.9971,14.0,5.0,0.062,2.1,0.55,0.35,9.9
474,9.4,0.89,3.2,0.9982,24.0,10.0,0.08,1.7,0.51,0.28,10.5
475,10.2,0.6,3.14,0.9988,28.0,5.0,0.087,2.2,0.24,0.68,9.6
476,9.7,0.7,3.28,0.998,16.0,6.0,0.091,2.0,0.41,0.27,9.3
477,11.0,1.06,3.18,0.9977,20.0,6.0,0.075,1.8,0.49,0.24,10.4
478,10.2,0.6,3.14,0.9988,28.0,5.0,0.087,2.2,0.24,0.68,9.6
479,10.1,0.7,3.19,0.9984,31.0,6.0,0.077,2.7,0.11,0.685,9.4
480,9.2,0.66,3.12,1.0026,23.0,6.0,0.069,15.5,0.39,0.28,10.6
481,11.7,0.92,3.15,0.9964,17.0,6.0,0.08,2.8,0.56,0.3,9.4
482,9.4,1.05,3.04,0.9986,18.0,6.0,0.152,2.2,0.59,0.36,10.6
483,9.4,1.06,3.04,0.9986,18.0,7.0,0.152,2.2,0.6,0.36,10.6
484,13.4,0.66,3.06,0.997,24.0,6.0,0.114,4.1,0.68,0.44,10.6
485,10.0,0.47,3.17,0.9976,17.0,6.0,0.054000000000000006,1.9,0.39,0.67,10.2
486,10.0,0.47,3.17,0.9976,17.0,6.0,0.054000000000000006,1.9,0.39,0.67,10.2
487,10.0,0.42,3.17,0.9982,14.0,5.0,0.053,1.8,0.36,0.645,10.2
488,10.8,0.92,3.32,1.0002,67.0,35.0,0.081,2.8,0.55,0.32,11.6
489,10.2,0.75,3.34,0.9984,26.0,10.0,0.073,2.6,0.4,0.39,9.3
490,10.6,0.67,3.31,0.9984,56.0,24.0,0.078,2.8,0.27,0.775,9.3
491,13.3,0.79,3.34,0.9952,25.0,12.0,0.055,2.5,0.5,0.41,9.2
492,13.4,0.9,3.32,0.995,27.0,13.0,0.052000000000000005,2.6,0.51,0.4,8.9
493,11.6,0.74,3.48,1.0002,81.0,23.0,0.086,3.0,0.31,0.69,8.7
494,12.1,0.55,3.44,0.9952,91.0,28.0,0.051,8.3,0.23,0.39,6.5
495,11.0,0.65,3.15,0.9972,16.0,5.0,0.07,2.6,0.53,0.35,10.7
496,9.0,0.65,3.43,0.9984,38.0,14.0,0.081,1.9,0.25,0.52,7.8
497,11.1,0.79,3.32,0.9966,113.0,43.0,0.09,2.5,0.32,0.34,7.2
498,11.0,0.65,3.15,0.9972,16.0,5.0,0.07,2.6,0.53,0.35,10.7
499,11.6,0.74,3.48,1.0002,81.0,23.0,0.086,3.0,0.31,0.69,8.7
500,9.0,0.65,3.43,0.9984,38.0,14.0,0.081,1.9,0.25,0.52,7.8
501,12.0,0.85,3.17,0.9990000000000001,76.0,38.0,0.07400000000000001,6.55,0.73,0.44,10.4
502,12.0,0.85,3.17,0.9990000000000001,76.0,38.0,0.07400000000000001,6.55,0.73,0.44,10.4
503,10.9,1.04,3.18,0.9976,24.0,6.0,0.078,1.9,0.47,0.26,10.5
504,10.8,1.05,3.21,0.9976,22.0,6.0,0.077,1.8,0.42,0.24,10.5
505,12.5,0.78,3.16,0.9968,26.0,10.0,0.07200000000000001,2.9,0.63,0.49,10.2
506,10.8,1.02,3.25,0.9976,21.0,6.0,0.075,1.8,0.46,0.24,10.4
507,9.5,0.71,3.17,1.0,13.0,6.0,0.084,2.3,0.55,0.67,11.2
508,10.2,0.63,3.18,0.9994,62.0,26.0,0.09,2.2,0.31,0.59,10.0
509,11.4,0.68,3.04,0.9986,43.0,23.0,0.084,2.8,0.75,0.29,13.3
510,9.5,0.61,3.02,0.9978,43.0,19.0,0.073,4.6,0.49,0.42,12.4
511,10.2,0.63,3.18,0.9994,62.0,26.0,0.09,2.2,0.31,0.59,10.0
512,9.7,0.81,3.03,0.998,49.0,15.0,0.125,2.1,0.48,0.4,10.7
513,11.8,0.66,3.09,0.9973,15.0,6.0,0.107,2.4,0.64,0.51,10.5
514,11.8,0.66,3.09,0.9973,15.0,6.0,0.107,2.4,0.64,0.51,10.5
515,9.3,1.14,3.31,1.001,151.0,34.0,0.122,6.1,0.49,0.655,8.5
516,11.9,0.74,3.25,1.001,14.0,5.0,0.1,4.3,0.49,0.6,12.5
517,8.4,0.63,3.16,0.9994,16.0,5.0,0.2,2.1,0.49,0.61,10.4
518,11.7,0.68,3.22,0.9972,32.0,11.0,0.08800000000000001,2.8,0.49,0.21,10.9
519,11.0,0.78,3.36,0.9966,106.0,39.0,0.08800000000000001,2.5,0.49,0.365,7.3
520,10.0,0.9,3.42,0.9982,33.0,15.0,0.08800000000000001,2.7,0.49,0.25,9.8
521,9.1,0.64,3.48,0.998,43.0,16.0,0.08800000000000001,2.0,0.49,0.41,7.6
522,9.8,0.99,3.38,0.9979,133.0,47.0,0.099,2.3,0.49,0.39,8.2
523,9.4,0.55,3.22,0.9978,142.0,38.0,0.085,2.5,0.49,0.4,9.3
524,9.5,0.64,3.23,0.9976,116.0,23.0,0.086,2.4,0.49,0.43,9.2
525,9.9,0.67,3.24,0.9998,53.0,29.0,0.105,2.8,0.24,0.64,10.4
526,11.0,0.78,3.36,0.9966,106.0,39.0,0.08800000000000001,2.5,0.49,0.365,7.3
527,11.4,0.77,3.39,0.9962,85.0,33.0,0.09699999999999999,2.5,0.49,0.38,7.0
528,8.7,0.75,3.34,0.9988,55.0,32.0,0.084,2.6,0.49,0.42,8.2
529,9.4,0.57,3.09,0.9974,33.0,6.0,0.077,2.4,0.24,0.63,9.9
530,10.3,0.87,3.41,0.9990000000000001,28.0,1.0,0.078,2.1,0.24,0.22,9.1
531,10.3,0.61,3.16,1.0004,42.0,12.0,0.098,2.7,0.49,0.38,11.9
532,10.3,0.61,3.16,1.0004,42.0,12.0,0.098,2.7,0.49,0.38,11.9
533,12.8,0.66,3.22,0.9956,33.0,15.0,0.07200000000000001,2.1,0.24,0.27,10.3
534,10.0,0.56,3.28,1.0,32.0,13.0,0.102,2.7,0.24,0.48,10.0
535,10.3,0.87,3.41,0.9990000000000001,28.0,1.0,0.078,2.1,0.24,0.22,9.1
536,9.4,0.57,3.09,0.9974,33.0,6.0,0.077,2.4,0.24,0.63,9.9
537,10.7,0.77,3.37,0.9972,13.0,5.0,0.084,2.1,0.24,0.825,8.1
538,12.0,0.66,3.2,1.0014,35.0,5.0,0.066,5.8,0.49,0.35,12.9
539,11.2,0.62,3.22,0.9996,17.0,5.0,0.1,5.15,0.74,0.5,11.2
540,9.6,0.67,3.26,0.9988,47.0,20.0,0.10099999999999999,3.3,0.24,0.59,9.2
541,11.0,0.73,3.21,0.9988,17.0,5.0,0.064,6.3,0.49,0.46,9.5
542,9.9,0.59,3.12,0.9966,20.0,5.0,0.07,2.1,0.24,0.715,9.3
543,11.0,0.72,3.06,0.9993,53.0,16.0,0.085,2.5,0.24,0.66,11.2
544,8.4,0.79,2.86,1.0008,15.0,6.0,0.075,1.8,0.74,0.31,14.3
545,9.1,0.59,3.08,0.9982,106.0,38.0,0.094,2.6,0.49,0.47,9.1
546,9.5,0.78,3.45,0.9983,28.0,10.0,0.078,2.0,0.24,0.55,7.5
547,10.7,0.86,3.26,0.9987,21.0,6.0,0.067,2.5,0.49,0.31,10.6
548,10.4,0.75,3.12,0.9994,69.0,27.0,0.079,2.6,0.49,0.35,12.4
549,9.4,0.61,3.27,0.9975,25.0,6.0,0.171,1.9,0.49,0.53,9.0
550,9.5,0.56,3.33,0.9958,25.0,9.0,0.07400000000000001,2.1,0.01,0.51,6.8
551,10.0,0.73,3.19,0.998,45.0,14.0,0.092,2.8,0.24,0.43,9.4
552,10.0,0.74,3.12,0.998,44.0,14.0,0.092,2.7,0.24,0.46,9.5
553,11.5,0.62,3.74,0.9934,96.0,32.0,0.05,1.6,0.24,1.04,5.0
554,11.1,0.74,2.92,1.00315,23.0,10.0,0.095,4.2,0.49,0.645,15.5
555,11.1,0.74,2.92,1.00315,23.0,10.0,0.095,4.2,0.49,0.645,15.5
556,11.7,0.56,3.07,1.0002,17.0,10.0,0.11800000000000001,4.6,0.49,0.53,10.9
557,11.1,0.74,2.92,1.00315,23.0,10.0,0.095,4.2,0.49,0.645,15.6
558,11.7,0.56,3.07,1.0002,17.0,10.0,0.11800000000000001,4.6,0.49,0.53,10.9
559,12.7,0.68,3.3,1.0021,47.0,6.0,0.085,4.3,0.49,0.47,13.0
560,11.4,0.57,3.14,0.9994,19.0,5.0,0.075,2.8,0.49,0.6,12.7
561,9.2,0.58,3.23,0.9978,121.0,26.0,0.078,2.4,0.49,0.44,9.0
562,9.2,0.61,3.08,0.9982,110.0,41.0,0.094,2.9,0.49,0.54,9.0
563,10.1,0.61,3.31,0.9971,60.0,25.0,0.092,2.7,0.49,0.29,7.6
564,12.7,0.68,3.3,1.0021,47.0,6.0,0.085,4.3,0.49,0.47,13.0
565,11.4,0.57,3.14,0.9994,19.0,5.0,0.075,2.8,0.49,0.6,12.7
566,9.0,0.6,3.32,0.9991,15.0,5.0,0.226,2.5,0.24,0.7,8.7
567,9.0,0.6,3.32,0.9991,15.0,5.0,0.226,2.5,0.24,0.7,8.7
568,10.7,0.79,3.31,0.9990000000000001,20.0,5.0,0.25,2.6,0.49,0.5,9.8
569,11.7,0.57,3.57,0.9946,42.0,19.0,0.095,2.2,0.24,0.36,6.2
570,11.0,0.91,3.32,1.0003,37.0,10.0,0.07,3.3,0.49,0.35,11.5
571,11.7,0.57,3.57,0.9946,42.0,19.0,0.095,2.2,0.24,0.36,6.2
572,10.4,0.61,3.14,0.9978,28.0,10.0,0.075,2.4,0.49,0.24,10.2
573,9.6,0.56,3.3,0.9991,47.0,14.0,0.07,2.1,0.49,0.59,10.5
574,10.0,0.7,3.19,0.9992,78.0,20.0,0.078,3.2,0.49,0.34,10.6
575,10.2,0.8,3.2,0.9993,46.0,28.0,0.079,3.1,0.49,0.27,12.3
